Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
O	DET	0	1	0	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
Brasil	PROPN	0	1	1	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
inicia	VERB	0	1	2	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
o	DET	0	1	3	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
processo	NOUN	0	1	4	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
de	ADP	0	1	5	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
elaboração	NOUN	0	1	6	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
do	ADP	0	1	7	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
5	PROPN	0	1	8	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
Plano	PROPN	0	1	9	0	O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil . A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas , em momento posterior , para construção dos compromissos . Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021 . O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo , com a finalidade de construírem , em conjunto , compromissos que farão parte do 5 Plano de Ação Nacional . Os temas sugeridos serão compilados e sistematizados , sendo posteriormente apresentados para priorização por meio de votação aberta . Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional . Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário . Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência , à luta contra a corrupção , ao incentivo à participação social e à inovação . Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos . A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos , ao acesso à informação pública e à participação social . Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver . Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los . O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional . A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto . Por esse motivo , considera-se imprescindível que os diversos segmentos sociedade , setor privado , academia participem ativamente da construção do Plano .
